مزرعه,مساحت (ha),PN1,PE1,PN2,PE2,PN3,PE3,PN4,PE4,PN9,PE9,PN10,PE10,PN11,PE11
15-23,23.90,3489837.90,288363.93,3489869.26,288117.42,3488915.22,287996.05,3488883.85,288242.56,,,,,,
15-24,23.90,3488815.40,288233.85,3488846.76,287987.34,3487892.71,287865.96,3487861.35,288112.48,,,,,,
15-25,23.90,3489806.04,288614.41,3489837.40,288367.90,3488883.35,288246.53,3488851.99,288493.03,,,,,,
15-26,23.90,3488783.54,288484.33,3488814.90,288237.82,3487860.85,288116.44,3487829.49,288362.95,,,,,,
15-27,23.90,3488783.54,288484.33,3488814.90,288237.82,3487860.85,288116.44,3487829.49,288362.95,,,,,,
15-28,16.71,3488761.28,288659.31,3488782.28,288494.26,3487828.23,288372.87,3487803.05,288570.86,,,,,,
16-01,24.29,3487230.75,284583.75,3486278.09,284462.56,3486246.28,284713.55,3487198.83,284834.73,,,,,,
16-02,24.30,3488219.93,284964.64,3488251.86,284713.66,3487299.20,284592.46,3487267.27,284843.44,,,,,,
16-03,23.86,3487232.02,284573.83,3487263.38,284327.32,3486310.72,284206.12,3486279.36,284452.63,,,,,,
16-04,23.85,3488253.13,284703.73,3488284.49,284457.22,3487334.83,284336.03,3487300.47,284582.54,,,,,,
16-05,23.87,3487263.88,284323.34,3487295.25,284076.82,3486342.59,283955.62,3486311.22,284202.14,,,,,,
